pair_id	chain_ptm_a	chain_ptm_b	min_pae_ab	ptm	iptm
pos_q9wv56_p20067	0.61	0.3	13.27	0.49	0.14
pos_q9wv60_q02085	0.82	0.22	20.6	0.57	0.14
pos_q9z0z7_q924a0	0.23	0.23	17.75	0.21	0.14
pos_o54962_q99mk8	0.84	0.86	23.84	0.78	0.14
pos_o88721_q9wu02	0.61	0.56	22.41	0.39	0.14
pos_o89110_q3u0v2	0.47	0.46	23.52	0.35	0.14
pos_p01108_q60793	0.23	0.21	12.36	0.21	0.14
pos_p08414_p23242	0.52	0.53	20.69	0.37	0.14
pos_p16110_q61790	0.52	0.5	22.29	0.41	0.14
pos_p16301_p48281	0.79	0.57	21.63	0.47	0.14
pos_p21956_q99lh2	0.55	0.64	23.41	0.42	0.14
pos_p28078_q5bkr2	0.63	0.55	22.09	0.44	0.14
pos_p34968_p04202	0.59	0.48	20.1	0.41	0.14
pos_p45591_q91v27	0.75	0.26	23.29	0.28	0.14
pos_p47738_q8ve38	0.9	0.78	22.09	0.63	0.14
pos_p47738_q9jhb2	0.89	0.83	28.41	0.61	0.14
pos_p51576_q9jip4	0.66	0.64	25.54	0.43	0.14
pos_p51637_p20444	0.36	0.6	25.08	0.53	0.14
pos_p97864_p05480	0.66	0.6	21.71	0.44	0.14
pos_q07797_q99p51	0.67	0.5	23.48	0.53	0.14
pos_q3un02_p00397	0.77	0.88	26.49	0.58	0.14
pos_q3un02_p16331	0.84	0.72	25.01	0.48	0.14
pos_q5eg47_q9jk92	0.5	0.38	21.73	0.42	0.14
pos_q60843_q60929	0.22	0.24	17.14	0.21	0.14
pos_q61616_p30728	0.6	0.55	24.52	0.39	0.14
pos_q7ts72_p70296	0.44	0.93	25.24	0.38	0.14
pos_q7ts72_p70296	0.44	0.93	25.13	0.38	0.14
pos_q7ts72_q60932	0.41	0.77	26.22	0.35	0.14
pos_q8blr9_q99m31	0.87	0.71	24.35	0.49	0.14
pos_q8bx35_q3u034	0.36	0.71	21.87	0.51	0.14
pos_q8ci19_p97953	0.38	0.35	20.81	0.27	0.14
pos_q8k1m6_o35900	0.5	0.67	26.94	0.47	0.14
pos_q8qzx0_q5drq8	0.67	0.55	24.1	0.41	0.14
pos_q8vdl4_q9cqy5	0.73	0.47	18.47	0.51	0.14
pos_q8ven2_q7ts72	0.5	0.45	21.43	0.38	0.14
pos_q91v87_p04202	0.3	0.42	21.23	0.27	0.14
pos_q9cy28_p36423	0.76	0.84	24.97	0.61	0.14
pos_q9d2g2_p35486	0.51	0.85	20.64	0.47	0.14
pos_q9eqg9_p60324	0.53	0.33	18.05	0.44	0.14
pos_q9qy05_q9jma9	0.23	0.83	18.53	0.68	0.14
pos_q9qye9_q3uv70	0.46	0.75	21.88	0.57	0.14
pos_q9r0y8_q5drq8	0.62	0.48	18.74	0.4	0.14
pos_q9wua6_q71fd7	0.71	0.36	20.97	0.47	0.14
pos_q9wvj9_p97953	0.43	0.35	22.8	0.3	0.14
pos_e9q2e9_p58043	0.15	0.76	22.96	0.6	0.14
pos_e9q2e9_q9z2b2	0.16	0.69	17.05	0.51	0.14
pos_m0qw46_o89110	0.37	0.47	14.94	0.4	0.14
pos_o35718_p04202	0.61	0.54	18.24	0.4	0.14
pos_o35718_p04202	0.61	0.54	18.25	0.4	0.14
pos_o35718_p04202	0.61	0.54	18.58	0.4	0.14
pos_o88630_o70480	0.48	0.21	10.63	0.35	0.14
pos_p09793_q00417	0.52	0.24	20.6	0.27	0.14
pos_p29754_p22366	0.67	0.42	19	0.46	0.14
pos_p43135_q9wv93	0.56	0.27	23.44	0.38	0.14
pos_p48787_q8r071	0.41	0.58	19.02	0.45	0.14
pos_p56393_p50136	0.46	0.83	20.87	0.73	0.14
pos_p61161_p42227	0.81	0.69	27.55	0.52	0.14
pos_p63094_o09110	0.55	0.72	21.67	0.43	0.14
pos_q3thf9_a2amt1	0.58	0.22	25.49	0.25	0.14
pos_q61176_q91z98	0.91	0.89	24.71	0.56	0.14
pos_q61735_q62009	0.6	0.61	25.76	0.51	0.14
pos_q64729_p04202	0.62	0.53	23.89	0.43	0.14
pos_q6dg52_q99jy1	0.7	0.47	21.08	0.38	0.14
pos_q78hu7_q8jzv4	0.36	0.35	14.31	0.32	0.14
pos_q8bgj0_q8r3k3	0.76	0.68	21.59	0.45	0.14
pos_q9cpq8_q8cgg3	0.3	0.48	15.72	0.43	0.14
pos_q9d5h4_q80t19	0.72	0.21	16.89	0.57	0.14
pos_q9dcb8_p19123	0.52	0.44	16.09	0.32	0.14
pos_q9jhb2_o70176	0.85	0.19	16.99	0.6	0.14
pos_q9jkd3_p43252	0.64	0.64	23.64	0.48	0.14
pos_q9wua6_q64373	0.72	0.61	23.56	0.55	0.14
pos_b2rx47_q3tdd9	0.13	0.41	26.52	0.31	0.14
pos_m0qw46_o89110	0.37	0.47	15.02	0.4	0.14
pos_o08691_p54923	0.84	0.89	24.55	0.53	0.14
pos_o35084_q9jma7	0.75	0.84	22.58	0.51	0.14
pos_o35718_p04202	0.6	0.54	17.9	0.4	0.14
pos_o70145_p29533	0.39	0.39	20.94	0.31	0.14
pos_p03930_p49442	0.3	0.88	14.22	0.78	0.14
pos_p03930_p49442	0.3	0.88	14.2	0.78	0.14
pos_p08414_p61014	0.6	0.43	21.02	0.56	0.14
pos_p08414_q9d5l7	0.55	0.76	20.23	0.41	0.14
pos_p11835_q62523	0.58	0.25	28.02	0.42	0.14
pos_p17710_q60932	0.72	0.71	28.69	0.6	0.14
pos_p22387_p01139	0.31	0.5	16.9	0.35	0.14
pos_p28235_p03930	0.58	0.28	16.52	0.52	0.14
pos_p28652_p08414	0.51	0.54	18.49	0.35	0.14
pos_p29452_p48025	0.58	0.73	21.85	0.51	0.14
pos_p47774_p70658	0.65	0.66	22.76	0.43	0.14
pos_p48036_q9jhh6	0.91	0.89	21.61	0.57	0.14
pos_p55772_p03930	0.78	0.28	20.41	0.71	0.14
pos_p57774_p49650	0.27	0.76	17.7	0.65	0.14
pos_p60761_q9jia7	0.18	0.68	17.92	0.62	0.14
pos_q00623_q61646	0.21	0.77	21.89	0.5	0.14
pos_q07797_o70176	0.68	0.14	21.49	0.57	0.14
pos_q5eg47_p03930	0.55	0.29	15.27	0.51	0.14
pos_q60613_q60612	0.61	0.74	23.77	0.43	0.14
pos_q61036_q9jkp8	0.59	0.52	24.43	0.51	0.14
pos_q61735_q8vi36	0.61	0.27	27.29	0.31	0.14
pos_q62048_p97953	0.59	0.41	17.18	0.37	0.14
pos_q7tnk8_p34968	0.14	0.61	17.58	0.51	0.14
pos_q7ts72_q99jg7	0.42	0.25	15.54	0.32	0.14
pos_q8bgk2_p03930	0.91	0.28	12.28	0.8	0.14
pos_q8vca5_o70433	0.78	0.31	25.21	0.54	0.14
pos_q8vdf3_q8k1m6	0.72	0.49	26.35	0.4	0.14
pos_q8ve98_p25799	0.58	0.51	27.78	0.44	0.14
pos_q91uz5_a0a1d5rm15	0.88	0.29	24.99	0.43	0.14
pos_q99j95_q6p8m1	0.79	0.93	24.12	0.51	0.14
pos_q99m31_p23506	0.72	0.85	24.04	0.55	0.14
pos_q9d1d6_p99029	0.55	0.69	21.29	0.4	0.14
pos_q9d832_q8buy5	0.46	0.44	15.5	0.33	0.14
pos_q9d8f1_q05915	0.8	0.69	15.68	0.52	0.14
pos_q9dcb8_p11798	0.56	0.6	20.88	0.49	0.14
pos_q9esl8_q8bh93	0.73	0.09	16.77	0.39	0.14
pos_q9esn6_q80w54	0.4	0.78	27.36	0.41	0.14
pos_q9jhi8_p20444	0.67	0.54	25.98	0.42	0.14
pos_q9ji91_a0a140t8p3	0.51	0.71	28.24	0.47	0.14
pos_q9jma7_o35084	0.84	0.75	23.49	0.51	0.14
pos_q9qzh6_q9quk6	0.44	0.67	25.94	0.51	0.14
pos_q9qzm4_q9db70	0.3	0.37	15.49	0.26	0.14
pos_q9wv60_q60932	0.81	0.77	19.3	0.55	0.14
pos_q9z126_p54751	0.48	0.81	17.67	0.66	0.14
pos_q9z1e3_q9r0p9	0.65	0.82	21.74	0.46	0.14
pos_o09100_e9q5g3	0.16	0.46	25.03	0.37	0.14
pos_o35598_q9wvs4	0.62	0.64	26.45	0.47	0.14
pos_o70200_q61176	0.65	0.85	24.1	0.65	0.14
pos_p04202_q9epk8	0.49	0.63	26.42	0.5	0.14
pos_p11247_p52430	0.82	0.85	20.88	0.61	0.14
pos_p15655_p07214	0.77	0.6	17.8	0.46	0.14
pos_p19221_p12804	0.61	0.51	24.4	0.44	0.14
pos_p30882_p11032	0.58	0.82	16.79	0.65	0.14
pos_p41164_q08369	0.32	0.18	18.35	0.24	0.14
pos_p42228_p06804	0.79	0.58	27.02	0.64	0.14
pos_p42567_p23242	0.23	0.53	25.56	0.27	0.14
pos_p51637_p46935	0.39	0.48	25.7	0.44	0.14
pos_p51683_p70658	0.68	0.66	24.6	0.44	0.14
pos_p61622_q9jiz5	0.58	0.24	29.31	0.5	0.14
pos_p97813_o08992	0.84	0.61	27.09	0.68	0.14
pos_q06186_p12025	0.27	0.35	13.49	0.24	0.14
pos_q60793_p42582	0.22	0.24	12.56	0.21	0.14
pos_q8r4t1_o08528	0.15	0.76	21.52	0.69	0.14
pos_q8vcn5_q60843	0.88	0.24	23.32	0.54	0.14
pos_q91wt9_p17563	0.62	0.9	25.54	0.5	0.14
pos_q9wv60_p70340	0.8	0.56	23.13	0.47	0.14
pos_o35864_q9r0p9	0.57	0.87	17.37	0.45	0.14
pos_o54829_p06804	0.72	0.58	22.63	0.54	0.14
pos_o55003_p00397	0.2	0.9	24.15	0.7	0.14
pos_p07321_q6pgn1	0.71	0.46	20.65	0.36	0.14
pos_p20109_p52633	0.65	0.71	22.61	0.64	0.14
pos_p27600_p70414	0.47	0.54	27.06	0.45	0.14
pos_p40224_p09055	0.48	0.53	24.16	0.5	0.14
pos_p41183_q8k1m6	0.24	0.48	26.81	0.35	0.14
pos_p50462_q62523	0.31	0.24	15.56	0.23	0.14
pos_p51437_q1wg82	0.66	0.28	20.5	0.34	0.14
pos_p51667_p58771	0.38	0.28	14.26	0.24	0.14
pos_p63158_p07901	0.32	0.64	26.45	0.54	0.14
pos_q05117_p61620	0.84	0.7	22.64	0.5	0.14
pos_q60994_o88351	0.54	0.7	26.86	0.58	0.14
pos_q61646_p04247	0.75	0.79	18.89	0.59	0.14
pos_q8cfn5_p51667	0.25	0.37	20.4	0.22	0.14
pos_q8k3y3_q80z64	0.64	0.27	15.83	0.34	0.14
pos_q9cq62_q00612	0.82	0.82	20.76	0.56	0.14
pos_q9epw2_o89090	0.21	0.17	20.14	0.18	0.14
pos_q9eqy0_p63028	0.44	0.71	27.15	0.41	0.14
pos_q9esl9_q00731	0.64	0.3	18.66	0.31	0.14
pos_q9jjj3_p41245	0.76	0.44	23.84	0.37	0.14
pos_q9jkp5_q9jm73	0.3	0.27	15.17	0.23	0.14
pos_q9qui0_q9jm73	0.82	0.26	22.26	0.32	0.14
pos_o55102_p40630	0.28	0.45	17.98	0.37	0.14
pos_p08505_o08586	0.65	0.76	22.78	0.55	0.14
pos_p08505_q99p87	0.67	0.48	15.55	0.5	0.14
pos_p09055_p10833	0.52	0.63	26.96	0.45	0.14
pos_p10417_p23927	0.64	0.45	18.27	0.44	0.14
pos_p12791_q921p9	0.78	0.19	23.79	0.63	0.14
pos_p17182_q61221	0.89	0.43	28.57	0.41	0.14
pos_p25118_p70196	0.32	0.36	21.52	0.27	0.14
pos_p26443_q9d2y4	0.8	0.64	25.5	0.51	0.14
pos_p27545_q3ugx3	0.72	0.59	23.4	0.48	0.14
pos_p29268_q91w90	0.4	0.32	25.02	0.27	0.14
pos_p38532_q99pr8	0.26	0.48	20.65	0.23	0.14
pos_p40224_p16110	0.54	0.53	14.66	0.43	0.14
pos_p45952_p50544	0.85	0.82	27.89	0.57	0.14
pos_p55284_q8bmk4	0.36	0.19	20.83	0.29	0.14
pos_p63328_q9cxl1	0.73	0.7	23.12	0.61	0.14
pos_q01147_p52946	0.22	0.28	13.46	0.22	0.14
pos_q09014_p27773	0.47	0.6	26.01	0.42	0.14
pos_q60613_q61672	0.61	0.7	20.09	0.46	0.14
pos_q60631_q08481	0.54	0.47	22.79	0.41	0.14
pos_q61093_q61093	0.62	0.62	26.53	0.42	0.14
pos_q61337_p54763	0.14	0.39	22.31	0.36	0.14
pos_q8bmk4_p26450	0.19	0.3	25.88	0.25	0.14
pos_q99ki0_q99pr8	0.76	0.48	25.15	0.65	0.14
pos_q9dbc7_p63101	0.44	0.84	19.78	0.43	0.14
pos_q9jhq5_q62521	0.4	0.29	16.93	0.26	0.14
pos_q9wvs6_q01853	0.53	0.55	24.25	0.42	0.14
pos_q9wvs6_q60932	0.56	0.67	23.48	0.4	0.14
pos_o08528_q60932	0.72	0.68	29.26	0.6	0.14
pos_o54784_p70302	0.6	0.26	23.72	0.34	0.14
pos_p04202_q61143	0.57	0.71	28.05	0.56	0.14
pos_p04202_q9r1q6	0.57	0.59	21.53	0.41	0.14
pos_p05480_p42227	0.56	0.7	26.9	0.49	0.14
pos_p10148_p10749	0.44	0.55	11.56	0.4	0.14
pos_p15379_q00547	0.27	0.21	29.78	0.23	0.14
pos_p21237_p05017	0.53	0.36	17.64	0.39	0.14
pos_p31750_o35566	0.69	0.58	23.69	0.52	0.14
pos_p31750_p27090	0.7	0.53	22.81	0.47	0.14
pos_p31750_p27600	0.6	0.51	21.14	0.42	0.14
pos_p31750_p97377	0.68	0.76	24.39	0.47	0.14
pos_p51174_o55102	0.85	0.25	20.72	0.7	0.14
pos_p60324_p04426	0.34	0.75	19.14	0.56	0.14
pos_p70372_q8c3p7	0.33	0.4	27.53	0.31	0.14
pos_p97447_q63932	0.34	0.72	20.61	0.49	0.14
pos_q08369_q61039	0.19	0.33	11.62	0.2	0.14
pos_q3u0v1_p22893	0.19	0.2	20.27	0.19	0.14
pos_q61176_p04202	0.86	0.67	22.98	0.49	0.14
pos_q62181_p70323	0.78	0.42	28.12	0.54	0.14
pos_q8cby8_q3tbt3	0.68	0.6	23.44	0.47	0.14
pos_q8ve91_q91yt7	0.25	0.38	21.1	0.29	0.14
pos_q91ys8_q9jm73	0.69	0.24	23.85	0.38	0.14
pos_q99kr7_q9cqn1	0.73	0.59	26.31	0.5	0.14
pos_q9qzh6_p70196	0.43	0.35	22.07	0.29	0.14
pos_q9z1p8_q8ciz9	0.51	0.62	22.61	0.45	0.14
pos_a2amm0_p54763	0.2	0.37	27.31	0.33	0.14
pos_o08583_p10639	0.31	0.85	18.67	0.33	0.14
pos_o35613_q99pr8	0.32	0.47	22.03	0.3	0.14
pos_o54890_q00731	0.63	0.27	26.3	0.49	0.14
pos_o88569_p63280	0.52	0.9	24.03	0.42	0.14
pos_o89090_q00899	0.18	0.29	22.71	0.21	0.14
pos_p01575_p70671	0.81	0.54	23.03	0.43	0.14
pos_p08505_o35235	0.65	0.5	19.01	0.36	0.14
pos_p20352_o54819	0.65	0.27	21.95	0.41	0.14
pos_p23927_p12979	0.46	0.35	19.96	0.28	0.14
pos_p23927_p42227	0.44	0.7	24.19	0.61	0.14
pos_p28700_p97471	0.46	0.48	22.17	0.34	0.14
pos_p33434_p04202	0.77	0.53	26.31	0.55	0.14
pos_p34960_p05125	0.51	0.17	14.86	0.43	0.14
pos_p35802_q3uik4	0.66	0.48	17.71	0.37	0.14
pos_p41245_p06804	0.4	0.58	24.23	0.35	0.14
pos_p49138_p63166	0.72	0.66	18.87	0.6	0.14
pos_p55271_q9qz28	0.82	0.49	21.53	0.37	0.14
pos_p56959_q00731	0.24	0.3	18.98	0.22	0.14
pos_p70434_q62191	0.43	0.5	25.18	0.35	0.14
pos_p97489_p42582	0.19	0.26	12.74	0.19	0.14
pos_q00612_p14602	0.84	0.38	21.04	0.65	0.14
pos_q3uik4_p22366	0.5	0.44	20.64	0.37	0.14
pos_q60700_q9qye9	0.38	0.49	26.4	0.34	0.14
pos_q60765_q9wtr6	0.31	0.75	19.56	0.6	0.14
pos_q60929_p42582	0.24	0.24	14.78	0.21	0.14
pos_q61090_q8c4u3	0.59	0.57	23.68	0.44	0.14
pos_q61501_q38hm4	0.27	0.4	20.55	0.28	0.14
pos_q6zq88_g3uxn8	0.76	0.57	26.31	0.71	0.14
pos_q8cby8_q8r104	0.69	0.72	24.34	0.48	0.14
pos_q9dcm2_p23204	0.89	0.57	23.53	0.44	0.14
pos_q9jk48_p61957	0.54	0.67	23.43	0.46	0.14
pos_q9qzh6_q62073	0.47	0.47	19.47	0.34	0.14
pos_q9wtl8_q04863	0.38	0.42	24.34	0.3	0.14
pos_q9wvh4_q9er69	0.21	0.2	13.31	0.2	0.14
pos_a2aiv8_q2tba3	0.27	0.46	29.17	0.36	0.14
pos_a2aiv8_q9cub6	0.31	0.42	20	0.27	0.14
pos_o35253_p04202	0.64	0.51	18.23	0.42	0.14
pos_o54775_p70372	0.37	0.32	16.75	0.26	0.14
pos_o55143_p63166	0.64	0.58	28.5	0.6	0.14
pos_o55222_p07214	0.65	0.55	23.78	0.45	0.14
pos_o70433_q9jm73	0.36	0.22	22.6	0.22	0.14
pos_o88507_p42227	0.61	0.69	24.59	0.52	0.14
pos_o88597_q6pf93	0.4	0.62	26.97	0.47	0.14
pos_p01580_q9jkd8	0.66	0.4	22.72	0.35	0.14
pos_p06880_p05017	0.72	0.34	15.73	0.49	0.14
pos_p08505_q99kq4	0.65	0.91	23.78	0.69	0.14
pos_p10085_q9wvl2	0.24	0.57	23.51	0.47	0.14
pos_p10417_p47811	0.62	0.87	23.6	0.6	0.14
pos_p14847_p22777	0.85	0.81	25.5	0.59	0.14
pos_p21275_p19788	0.71	0.36	20.96	0.61	0.14
pos_p22777_p04202	0.8	0.52	19.55	0.5	0.14
pos_p27090_q62312	0.52	0.53	24.22	0.39	0.14
pos_p29268_p37804	0.4	0.65	21.63	0.35	0.14
pos_p30993_p51682	0.68	0.71	23.29	0.45	0.14
pos_p31750_p06804	0.73	0.59	18.56	0.55	0.14
pos_p31750_p59941	0.68	0.76	22.24	0.48	0.14
pos_p41163_q03347	0.31	0.33	20.18	0.25	0.14
pos_p43241_q08369	0.26	0.19	15.49	0.2	0.14
pos_p47811_p04202	0.86	0.6	23.18	0.5	0.14
pos_p48678_p59941	0.24	0.74	20.2	0.34	0.14
pos_p51480_p02340	0.68	0.53	17.65	0.41	0.14
pos_p60324_q923e4	0.33	0.47	14.27	0.42	0.14
pos_p80313_q9erl9	0.67	0.48	27.97	0.41	0.14
pos_q03963_q8vcf0	0.52	0.25	23.19	0.34	0.14
pos_q07813_q811u4	0.62	0.61	26.99	0.52	0.14
pos_q08369_p42582	0.19	0.25	13.52	0.19	0.14
pos_q60795_q9wtr6	0.21	0.74	24.84	0.44	0.14
pos_q60994_o55143	0.54	0.64	26.44	0.56	0.14
pos_q61221_p05017	0.44	0.34	22.17	0.4	0.14
pos_q62073_p04202	0.47	0.43	21.29	0.36	0.14
pos_q62073_q8bun5	0.48	0.47	24.51	0.36	0.14
pos_q64280_p43021	0.6	0.48	23.93	0.39	0.14
pos_q8bmb3_q9wv60	0.68	0.82	16.26	0.58	0.14
pos_q8cfz5_p06804	0.77	0.56	20.82	0.61	0.14
pos_q8k1m6_q9wv60	0.51	0.77	21.41	0.4	0.14
pos_q99kq4_q923e4	0.88	0.46	24.24	0.46	0.14
pos_q99p87_o35718	0.56	0.68	17.06	0.51	0.14
pos_q99pr8_p48962	0.49	0.75	20.96	0.54	0.14
pos_q9eqy0_o35426	0.44	0.25	23.23	0.39	0.14
pos_q9es30_p11438	0.57	0.46	21.82	0.35	0.14
pos_q9jhi8_q8k211	0.62	0.53	17.38	0.52	0.14
pos_q9jj43_q8bka3	0.26	0.11	25.26	0.19	0.14
pos_q9r1e0_p46938	0.21	0.18	17.04	0.19	0.14
pos_q9wut3_q9jm73	0.48	0.26	27.44	0.36	0.14
pos_q9wv60_p04426	0.8	0.75	26.93	0.49	0.14
pos_q9wvs6_p02340	0.65	0.5	23.63	0.42	0.14
pos_q9z0j7_q62432	0.34	0.5	19.61	0.38	0.14
pos_q9z1w4_q62432	0.55	0.56	21.51	0.38	0.14
pos_p26040_p29533	0.68	0.38	29.19	0.4	0.14
pos_q61221_p23804	0.42	0.23	25.16	0.34	0.14
pos_e9q2e9_q5bkp2	0.19	0.63	22.4	0.56	0.14
pos_o09161_q8bsy0	0.7	0.47	27.52	0.37	0.14
pos_o35084_p48025	0.74	0.67	28.35	0.45	0.14
pos_o35718_d3z3y1	0.53	0.67	28.21	0.59	0.14
pos_o70343_q9dbu6	0.23	0.19	16.71	0.22	0.14
pos_o88425_q3ukf7	0.72	0.31	28.78	0.29	0.14
pos_o88597_p58043	0.4	0.74	24.13	0.46	0.14
pos_p02340_a2a7a1	0.52	0.25	14.63	0.28	0.14
pos_p05201_q9qxx4	0.86	0.5	27.81	0.42	0.14
pos_p06332_p29533	0.54	0.4	17.51	0.32	0.14
pos_p08414_q8vci0	0.55	0.87	23.25	0.54	0.14
pos_p09055_q9wvh9	0.49	0.43	26.45	0.39	0.14
pos_p09671_q9est8	0.81	0.46	26.34	0.39	0.14
pos_p10852_q07797	0.76	0.68	25.21	0.46	0.14
pos_p11835_o55222	0.53	0.61	28.78	0.41	0.14
pos_p11835_p10923	0.64	0.08	21.69	0.52	0.14
pos_p14142_p08414	0.77	0.54	20.89	0.49	0.14
pos_p16390_q923b6	0.56	0.72	19.19	0.43	0.14
pos_p20029_q8c878	0.65	0.7	27.2	0.46	0.14
pos_p22387_q00560	0.27	0.56	26.22	0.5	0.14
pos_p23242_q9z1m0	0.51	0.66	24.44	0.49	0.14
pos_p28867_q8bkz9	0.51	0.44	25.03	0.37	0.14
pos_p31750_q9eqg9	0.67	0.47	22.98	0.39	0.14
pos_p34971_p26339	0.6	0.15	18.57	0.39	0.14
pos_p49582_p08414	0.66	0.55	23.44	0.43	0.14
pos_p54728_q8r317	0.22	0.2	12.29	0.19	0.14
pos_p55097_p33434	0.84	0.77	25.9	0.58	0.14
pos_p62812_q9z1m0	0.65	0.66	26.54	0.47	0.14
pos_p70288_a2a7a1	0.75	0.23	24.77	0.41	0.14
pos_p70677_q9est8	0.69	0.45	23.72	0.37	0.14
pos_p86176_p26450	0.42	0.33	18.04	0.29	0.14
pos_p98191_q7ts72	0.64	0.41	28.67	0.37	0.14
pos_q00560_q9qy05	0.56	0.27	24.58	0.5	0.14
pos_q00690_q62170	0.5	0.15	17.98	0.38	0.14
pos_q00731_q80w65	0.28	0.76	26.21	0.55	0.14
pos_q02496_q9d0k2	0.24	0.85	24.01	0.47	0.14
pos_q07797_q80uw0	0.72	0.54	23.94	0.45	0.14
pos_q08857_q7ts72	0.84	0.42	25.58	0.44	0.14
pos_q2vpr5_p16054	0.31	0.51	22.11	0.42	0.14
pos_q3tyr5_p24788	0.2	0.42	18.64	0.37	0.14
pos_q3u1u7_q91wn4	0.35	0.81	22.69	0.43	0.14
pos_q3udn3_q7ts72	0.29	0.42	18.44	0.33	0.14
pos_q3ukf7_q61039	0.31	0.28	24.17	0.29	0.14
pos_q3uy23_p63094	0.81	0.52	23.84	0.57	0.14
pos_q3uy23_q9jia1	0.76	0.65	27.07	0.49	0.14
pos_q52kf3_p39429	0.26	0.39	21.2	0.27	0.14
pos_q5bkr2_q9d2l1	0.58	0.8	25.64	0.49	0.14
pos_q5eg47_p20029	0.53	0.64	26.34	0.42	0.14
pos_q5eg47_p50136	0.56	0.79	26.56	0.43	0.14
pos_q5eg47_q5bkr2	0.55	0.61	24.99	0.4	0.14
pos_q5eg47_q91zp4	0.54	0.75	26.78	0.5	0.14
pos_q60994_q9est8	0.55	0.44	26.07	0.38	0.14
pos_q61036_p05480	0.51	0.61	23.83	0.38	0.14
pos_q62048_o35409	0.58	0.86	26.26	0.76	0.14
pos_q6pem6_q5nce8	0.3	0.54	17.57	0.36	0.14
pos_q6zqm7_q923e4	0.59	0.47	25.64	0.37	0.14
pos_q7ts72_a2afk4	0.41	0.48	18.75	0.32	0.14
pos_q80uf7_p06332	0.29	0.59	27.11	0.34	0.14
pos_q8bh61_q9jhh6	0.76	0.86	27.87	0.55	0.14
pos_q8bxk4_q8cby1	0.63	0.33	23.94	0.34	0.14
pos_q8c1a5_q99m31	0.84	0.7	28.22	0.56	0.14
pos_q8cfi5_q9jhh6	0.83	0.88	25.66	0.52	0.14
pos_q8k097_q8ciw5	0.56	0.56	23.68	0.45	0.14
pos_q8k4q7_q9d2l1	0.75	0.8	26.63	0.49	0.14
pos_q8vhk5_p20444	0.54	0.57	23.84	0.42	0.14
pos_q91zr5_q9qy05	0.35	0.25	22.9	0.31	0.14
pos_q9cra9_p42228	0.26	0.78	18.53	0.64	0.14
pos_q9dcb8_o55143	0.52	0.65	27.06	0.6	0.14
pos_q9dcb8_p70414	0.51	0.53	23.43	0.49	0.14
pos_q9epw2_q60929	0.2	0.23	14.3	0.21	0.14
pos_q9eqg9_q99j21	0.43	0.71	25.25	0.44	0.14
pos_q9eqq0_q9z183	0.62	0.8	27.35	0.55	0.14
pos_q9erg0_q9jjt9	0.17	0.29	21.15	0.2	0.14
pos_q9esj1_q68ef6	0.32	0.22	19.48	0.24	0.14
pos_q9est8_p60954	0.45	0.33	24.62	0.35	0.14
pos_q9est8_p97953	0.45	0.33	21.79	0.36	0.14
pos_q9est8_q00899	0.46	0.21	24.89	0.36	0.14
pos_q9est8_q09014	0.46	0.46	23.59	0.36	0.14
pos_q9jjt9_q9qun7	0.31	0.65	21.67	0.51	0.14
pos_q9jkd3_q8vcc8	0.64	0.6	26.65	0.52	0.14
pos_q9jkd3_q922s4	0.65	0.43	25.66	0.38	0.14
pos_q9r229_p70340	0.61	0.43	23.94	0.38	0.14
pos_q9wua6_p20444	0.62	0.61	24.13	0.43	0.14
pos_q9wvh4_q9jkn1	0.2	0.62	18.13	0.33	0.14
pos_q60994_p25799	0.53	0.5	27.7	0.44	0.14
pos_a0a0r4j285_q9eqg9	0.76	0.44	21.3	0.39	0.14
pos_q6phz2_p24529	0.54	0.68	24.94	0.42	0.14
pos_p29268_p70340	0.38	0.43	17.84	0.32	0.14
pos_p15116_q91yd1	0.39	0.61	26.5	0.35	0.14
pos_p28659_q7ts72	0.29	0.43	25.21	0.32	0.14
pos_a0a9l6ke70_o70507	0.18	0.42	28.08	0.4	0.14
pos_q9qyj0_p58281	0.47	0.49	26.32	0.41	0.14
pos_p17182_q9est8	0.88	0.49	26.85	0.45	0.14
pos_p17182_p26450	0.89	0.31	28.82	0.43	0.14
pos_p01575_p42225	0.79	0.7	24.35	0.59	0.14
pos_q9dcb8_p97305	0.63	0.29	26.17	0.28	0.14
pos_q542i8_p04202	0.57	0.52	27.66	0.45	0.14
pos_q9eqy5_q61743	0.67	0.5	25.04	0.39	0.14
pos_q61743_p60761	0.65	0.28	19.75	0.58	0.14
pos_q91yp0_q8r216	0.71	0.76	26.42	0.49	0.14
pos_o08573_q10738	0.45	0.65	22.63	0.36	0.14
pos_q6p5g0_p17047	0.58	0.43	22.87	0.41	0.14
pos_q91y86_p32883	0.73	0.75	19.06	0.56	0.14
pos_p04247_q6wkz7	0.82	0.46	25.32	0.39	0.14
pos_p34960_p97430	0.44	0.5	23.75	0.38	0.14
pos_p18293_q6wkz7	0.45	0.48	29.89	0.37	0.14
pos_q9qyt7_q7ts72	0.63	0.4	27.57	0.4	0.14
pos_q5eg47_q9z2x8	0.49	0.65	25.6	0.43	0.14
pos_p70340_p15806	0.46	0.22	20.96	0.28	0.14
pos_q62432_q9wvk0	0.56	0.63	21.68	0.45	0.14
pos_p63028_q52kf3	0.77	0.38	23.34	0.34	0.14
pos_a0a0r4j003_p58006	0.16	0.77	17.35	0.61	0.14
